Raw Data
Scope 1/1, Sample 1/9 (8-Aug-16 Bin5)
Method Function,Sample (S1)
0.3705,48,219.7,19.7,0.0070,,
0.3785,49,220.1,19.7,0.0065,,
0.3870,50,220.3,19.7,0.0070,,
0.3955,51,220.4,19.7,0.0070,,
0.4030,52,220.9,19.7,0.0070,,
0.4115,53,221.4,19.7,0.0075,,
0.4200,54,221.2,19.7,0.0070,,
0.4285,55,221.2,19.7,0.0070,,
0.4370,56,221.7,19.7,0.0070,,
0.4445,57,222.0,19.7,0.0070,,
0.4530,58,222.3,19.7,0.0075,,
0.4615,59,222.7,19.7,0.0075,,
0.4695,60,223.4,19.7,0.0065,,
0.4780,61,223.6,19.7,0.0070,,
0.4865,62,224.3,19.7,0.0070,,
0.4940,63,224.7,19.7,0.0070,,
0.5025,64,225.4,19.7,0.0075,,
0.5110,65,225.5,19.7,0.0070,,
0.5195,66,226.1,19.7,0.0070,,
0.5280,67,226.0,19.7,0.0070,,
0.5365,68,226.3,19.7,0.0070,,
0.5440,69,226.4,19.7,0.0070,,
0.5525,70,226.5,19.7,0.0075,,
0.5610,71,226.4,19.7,0.0070,,
0.5690,72,226.9,19.7,0.0065,,
0.5775,73,227.3,19.7,0.0070,,
0.5860,74,227.3,19.7,0.0075,,
0.5935,75,227.8,19.7,0.0070,,
0.6020,76,228.6,19.7,0.0075,,
0.6105,77,229.1,19.7,0.0070,,
0.6190,78,229.4,19.7,0.0070,,
0.6275,79,229.8,19.7,0.0070,,
0.6350,80,230.0,19.7,0.0070,,
0.6435,81,230.2,19.7,0.0075,,
0.6520,82,230.4,19.7,0.0070,,
0.6600,83,230.5,19.7,0.0065,,
0.6685,84,230.8,19.7,0.0070,,
0.6770,85,230.7,19.7,0.0075,,
0.6845,86,230.4,19.7,0.0070,,
0.6930,87,230.7,19.7,0.0075,,
0.7015,88,231.2,19.7,0.0070,,
0.7100,89,231.6,19.7,0.0070,,
0.7185,90,232.0,19.7,0.0070,,
0.7260,91,232.2,19.7,0.0070,,
0.7345,92,232.8,19.7,0.0075,,
0.7430,93,233.2,19.7,0.0070,,
0.7515,94,233.2,19.7,0.0070,,
0.7595,95,233.1,19.7,0.0065,,
0.7680,96,233.5,19.7,0.0075,,
0.7755,97,233.9,19.7,0.0070,,
0.7840,98,234.3,19.7,0.0075,,
0.7925,99,234.0,19.7,0.0070,,
0.8010,100,234.3,19.7,0.0070,,
0.8095,101,234.0,19.7,0.0070,,
0.8180,102,234.2,19.7,0.0075,,
0.8255,103,234.4,19.7,0.0070,,
0.8340,104,235.1,19.7,0.0075,,
0.8425,105,235.5,19.7,0.0070,,
0.8505,106,236.1,19.7,0.0065,,
0.8590,107,236.3,19.7,0.0070,,
0.8665,108,236.3,19.7,0.0070,,
0.8750,109,236.6,19.7,0.0075,,
0.8835,110,236.9,19.7,0.0075,,
0.8920,111,237.1,19.7,0.0070,,
0.9005,112,236.8,19.7,0.0070,,
0.9090,113,236.9,19.7,0.0070,,
0.9165,114,237.0,19.7,0.0070,,
0.9250,115,236.9,19.7,0.0075,,
0.9335,116,237.0,19.7,0.0070,,
0.9415,117,237.2,19.7,0.0065,,
0.9500,118,237.7,19.7,0.0070,,
0.9585,119,237.9,19.7,0.0075,,
0.9660,120,238.6,19.7,0.0070,,
0.9740,121,238.7,19.7,0.0075,,
0.9785,122,239.0,19.7,0.0035,,
0.9790,123,239.3,19.7,0.0005,,
0.9805,124,239.3,19.7,0.0010,,
0.9825,125,239.3,19.7,0.0020,,
0.9860,126,238.9,19.7,0.0030,,
0.9910,127,238.4,19.7,0.0045,,
0.9965,128,238.4,19.7,0.0045,,
1.0025,129,238.6,19.7,0.0050,,
1.0030,130,238.7,19.7,0.0005,,
1.0040,131,238.6,19.7,0.0010,,
1.0040,132,238.8,19.7,0.0000,,
1.0050,133,239.0,19.7,0.0010,,
1.0065,134,239.7,19.7,0.0010,,
1.0070,135,239.8,19.7,0.0005,,
1.0075,136,239.9,19.7,0.0005,,
1.0085,137,239.7,19.7,0.0010,,
1.0095,138,240.0,19.7,0.0010,,
Scope 1/1, Sample 6/9 (8-Aug-16 Bin10)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-99.1,19.5,NaN,,
0.0005,1,-102.4,19.4,0.0005,,
0.0020,2,-102.6,19.4,0.0015,,
0.0050,3,-102.8,19.4,0.0025,,
0.0090,4,-103.2,19.4,0.0035,,
0.0150,5,-102.9,19.4,0.0050,,
0.0235,6,-102.9,19.4,0.0075,,
0.0310,7,-103.2,19.4,0.0070,,
0.0395,8,-103.2,19.4,0.0075,,
0.0480,9,-102.6,19.4,0.0070,,
0.0565,10,-102.3,19.4,0.0070,,
0.0650,11,-101.8,19.4,0.0070,,
0.0725,12,-101.2,19.4,0.0070,,
0.0810,13,-100.7,19.4,0.0075,,
0.0895,14,-100.1,19.4,0.0075,,
0.0975,15,-99.1,19.4,0.0065,,
0.1060,16,-97.9,19.4,0.0070,,
0.1145,17,-97.2,19.4,0.0070,,
0.1220,18,-97.1,19.4,0.0070,,
0.1305,19,-96.8,19.4,0.0075,,
0.1390,20,-95.8,19.4,0.0075,,
0.1475,21,-94.6,19.4,0.0070,,
0.1560,22,-93.6,19.4,0.0070,,
0.1640,23,-92.7,19.4,0.0065,,
0.1720,24,-92.0,19.4,0.0075,,
0.1805,25,-91.1,19.4,0.0075,,
0.1885,26,-90.3,19.4,0.0065,,
0.1970,27,-89.5,19.4,0.0070,,
0.2055,28,-89.2,19.4,0.0070,,
0.2140,29,-88.2,19.4,0.0075,,
0.2215,30,-87.2,19.4,0.0070,,
0.2300,31,-86.5,19.4,0.0075,,
0.2385,32,-86.1,19.4,0.0070,,
0.2470,33,-84.8,19.4,0.0070,,
0.2555,34,-83.9,19.4,0.0070,,
0.2630,35,-83.1,19.4,0.0070,,
0.2715,36,-81.9,19.4,0.0075,,
0.2795,37,-80.6,19.4,0.0075,,
0.2880,38,-79.5,19.4,0.0070,,
0.2965,39,-78.0,19.4,0.0070,,
0.3050,40,-76.2,19.4,0.0070,,
0.3125,41,-75.2,19.4,0.0070,,
0.3210,42,-73.7,19.4,0.0075,,
0.3295,43,-72.6,19.4,0.0075,,
0.3380,44,-71.3,19.4,0.0070,,
0.3460,45,-69.4,19.4,0.0065,,
0.3545,46,-67.6,19.4,0.0070,,
0.3625,47,-66.2,19.4,0.0075,,
0.3705,48,-65.0,19.4,0.0075,,
0.3790,49,-63.7,19.4,0.0070,,
0.3875,50,-61.8,19.4,0.0070,,
0.3960,51,-59.6,19.4,0.0070,,
0.4045,52,-57.7,19.4,0.0070,,
0.4120,53,-55.4,19.4,0.0070,,
0.4205,54,-52.8,19.4,0.0075,,
0.4290,55,-50.8,19.4,0.0070,,
0.4370,56,-48.8,19.4,0.0065,,
0.4455,57,-46.1,19.4,0.0070,,
0.4535,58,-43.2,19.4,0.0075,,
0.4615,59,-40.1,19.4,0.0075,,
0.4700,60,-36.4,19.4,0.0075,,
0.4785,61,-33.1,19.4,0.0070,,
0.4870,62,-29.1,19.4,0.0070,,
0.4955,63,-24.3,19.4,0.0070,,
0.5030,64,-20.5,19.4,0.0070,,
0.5115,65,-16.0,19.4,0.0075,,
0.5200,66,-12.0,19.4,0.0070,,
0.5285,67,-8.3,19.4,0.0070,,
0.5365,68,-5.0,19.4,0.0065,,
0.5450,69,-2.0,19.4,0.0070,,
0.5525,70,0.3,19.4,0.0070,,
0.5610,71,2.1,19.4,0.0075,,
0.5695,72,3.5,19.4,0.0070,,
0.5780,73,4.9,19.4,0.0070,,
0.5865,74,6.5,19.4,0.0070,,
0.5950,75,8.0,19.4,0.0075,,
0.6025,76,9.2,19.4,0.0070,,
0.6110,77,10.6,19.4,0.0075,,
0.6195,78,12.0,19.4,0.0070,,
0.6275,79,13.4,19.4,0.0065,,
0.6360,80,14.8,19.4,0.0070,,
0.6435,81,15.9,19.4,0.0070,,
0.6520,82,17.3,19.4,0.0075,,
0.6605,83,18.6,19.4,0.0075,,
0.6690,84,19.7,19.4,0.0070,,
0.6775,85,20.8,19.4,0.0070,,
0.6860,86,21.8,19.4,0.0070,,
0.6935,87,22.7,19.4,0.0070,,
0.7020,88,23.5,19.4,0.0075,,
0.7105,89,24.3,19.4,0.0070,,
0.7190,90,25.0,19.4,0.0070,,
0.7270,91,26.3,19.4,0.0065,,
0.7355,92,27.3,19.4,0.0075,,
0.7430,93,28.4,19.4,0.0070,,
0.7515,94,29.0,19.4,0.0075,,
0.7600,95,29.3,19.4,0.0070,,
0.7685,96,29.9,19.4,0.0070,,
0.7770,97,30.7,19.4,0.0070,,
0.7845,98,31.6,19.4,0.0070,,
0.7930,99,32.6,19.4,0.0075,,
0.8015,100,33.4,19.4,0.0075,,
0.8095,101,34.1,19.4,0.0065,,
0.8180,102,35.6,19.4,0.0070,,
0.8265,103,37.0,19.4,0.0070,,
0.8340,104,37.9,19.4,0.0070,,
0.8425,105,38.3,19.4,0.0075,,
0.8510,106,39.2,19.4,0.0070,,
0.8595,107,40.0,19.4,0.0070,,
0.8680,108,40.7,19.4,0.0070,,
0.8765,109,41.8,19.4,0.0075,,
0.8840,110,42.4,19.4,0.0070,,
0.8925,111,42.5,19.4,0.0075,,
0.9010,112,43.5,19.4,0.0070,,
0.9090,113,44.9,19.4,0.0065,,
0.9175,114,45.7,19.4,0.0070,,
0.9250,115,46.5,19.4,0.0070,,
0.9335,116,47.7,19.4,0.0075,,
0.9420,117,48.6,19.4,0.0075,,
0.9505,118,48.8,19.4,0.0070,,
0.9590,119,49.1,19.4,0.0070,,
0.9675,120,49.6,19.4,0.0075,,
0.9750,121,50.4,19.4,0.0070,,
0.9835,122,51.3,19.5,0.0075,,
0.9920,123,52.4,19.4,0.0070,,
1.0000,124,53.7,19.4,0.0065,,
1.0085,125,54.6,19.4,0.0070,,
1.0170,126,55.3,19.4,0.0075,,
1.0245,127,55.9,19.4,0.0070,,
1.0330,128,56.9,19.4,0.0075,,
1.0415,129,57.9,19.4,0.0070,,
1.0500,130,58.9,19.4,0.0070,,
1.0585,131,60.3,19.4,0.0070,,
1.0670,132,61.1,19.4,0.0075,,
1.0745,133,62.1,19.5,0.0070,,
1.0825,134,63.5,19.5,0.0075,,
1.0910,135,64.5,19.5,0.0070,,
1.0995,136,65.4,19.4,0.0070,,
1.1080,137,65.8,19.4,0.0070,,
1.1155,138,67.1,19.4,0.0070,,
1.1240,139,68.6,19.4,0.0075,,
1.1325,140,69.1,19.5,0.0075,,
1.1410,141,70.1,19.5,0.0070,,
1.1495,142,70.9,19.5,0.0070,,
1.1580,143,72.6,19.5,0.0070,,
1.1655,144,74.0,19.5,0.0070,,
1.1740,145,75.7,19.5,0.0075,,
1.1820,146,77.1,19.5,0.0065,,
1.1905,147,78.4,19.5,0.0070,,
1.1990,148,79.7,19.5,0.0070,,
1.2075,149,80.9,19.5,0.0075,,
1.2150,150,82.4,19.5,0.0070,,
1.2235,151,83.5,19.5,0.0075,,
1.2320,152,85.3,19.5,0.0070,,
1.2405,153,87.2,19.5,0.0070,,
1.2490,154,89.5,19.5,0.0070,,
1.2565,155,90.4,19.5,0.0070,,
1.2650,156,92.7,19.5,0.0075,,
1.2730,157,95.0,19.5,0.0075,,
1.2815,158,97.3,19.5,0.0070,,
1.2900,159,100.2,19.5,0.0070,,
1.2985,160,103.0,19.5,0.0070,,
1.3060,161,105.4,19.5,0.0070,,
1.3145,162,107.8,19.5,0.0075,,
1.3230,163,111.1,19.5,0.0070,,
1.3315,164,113.7,19.5,0.0070,,
1.3400,165,117.7,19.5,0.0070,,
1.3480,166,121.1,19.5,0.0075,,
1.3560,167,124.6,19.5,0.0075,,
1.3645,168,129.5,19.5,0.0075,,
1.3725,169,134.4,19.5,0.0065,,
1.3810,170,139.1,19.5,0.0070,,
1.3895,171,143.4,19.5,0.0070,,
1.3970,172,147.5,19.5,0.0070,,
1.4055,173,152.0,19.5,0.0075,,
1.4140,174,156.3,19.5,0.0075,,
1.4225,175,159.5,19.5,0.0070,,
1.4310,176,162.3,19.5,0.0070,,
1.4395,177,165.4,19.5,0.0070,,
1.4470,178,168.1,19.5,0.0070,,
1.4550,179,171.1,19.5,0.0075,,
1.4635,180,173.1,19.5,0.0075,,
1.4720,181,175.4,19.5,0.0070,,
1.4805,182,177.9,19.5,0.0070,,
1.4890,183,179.5,19.5,0.0075,,
1.4965,184,181.8,19.5,0.0070,,
1.5050,185,183.6,19.5,0.0075,,
1.5135,186,185.2,19.5,0.0070,,
1.5170,187,186.6,19.5,0.0030,,
1.5170,188,187.4,19.5,0.0000,,
1.5175,189,187.4,19.5,0.0005,,
1.5185,190,187.4,19.5,0.0010,,
1.5205,191,186.9,19.5,0.0020,,
1.5240,192,187.4,19.5,0.0030,,
1.5270,193,188.6,19.5,0.0025,,
1.5285,194,188.9,19.5,0.0010,,
1.5290,195,189.3,19.5,0.0005,,
1.5295,196,189.7,19.5,0.0005,,
1.5300,197,189.6,19.5,0.0005,,
1.5305,198,189.4,19.5,0.0005,,
1.5320,199,190.0,19.5,0.0020,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,190.1,19.8,NaN,,
0.0005,1,189.8,19.8,0.0005,,
0.0020,2,190.2,19.8,0.0015,,
0.0050,3,190.2,19.8,0.0025,,
0.0090,4,190.1,19.8,0.0035,,
0.0150,5,190.9,19.8,0.0050,,
0.0235,6,192.1,19.8,0.0070,,
0.0310,7,193.0,19.8,0.0070,,
0.0395,8,194.4,19.8,0.0075,,
0.0480,9,195.0,19.8,0.0070,,
0.0565,10,195.3,19.8,0.0070,,
0.0650,11,196.3,19.8,0.0070,,
0.0725,12,197.4,19.8,0.0070,,
0.0810,13,198.2,19.8,0.0075,,
0.0895,14,198.9,19.8,0.0075,,
0.0975,15,199.9,19.8,0.0065,,
0.1060,16,201.0,19.8,0.0070,,
0.1145,17,202.2,19.8,0.0070,,
0.1220,18,203.1,19.8,0.0070,,
0.1305,19,203.9,19.8,0.0075,,
0.1390,20,204.7,19.8,0.0070,,
0.1475,21,205.6,19.8,0.0070,,
0.1560,22,206.2,19.8,0.0070,,
0.1645,23,206.4,19.8,0.0075,,
0.1720,24,206.7,19.8,0.0070,,
0.1805,25,207.1,19.8,0.0075,,
0.1890,26,207.8,19.8,0.0070,,
0.1970,27,208.3,19.8,0.0065,,
0.2055,28,209.0,19.8,0.0070,,
0.2130,29,209.8,19.8,0.0070,,
0.2215,30,210.2,19.8,0.0075,,
0.2300,31,211.3,19.8,0.0075,,
0.2385,32,211.9,19.8,0.0070,,
0.2470,33,212.7,19.8,0.0070,,
0.2555,34,213.4,19.8,0.0070,,
0.2630,35,213.7,19.8,0.0070,,
0.2715,36,214.1,19.8,0.0075,,
0.2800,37,214.9,19.8,0.0070,,
0.2880,38,215.3,19.8,0.0065,,
0.2965,39,215.3,19.8,0.0070,,
0.3050,40,215.8,19.8,0.0075,,
0.3125,41,215.6,19.8,0.0070,,
0.3210,42,216.1,19.8,0.0075,,
0.3295,43,216.5,19.8,0.0070,,
0.3380,44,217.0,19.8,0.0070,,
0.3465,45,217.5,19.8,0.0070,,
0.3540,46,218.2,19.8,0.0070,,
0.3625,47,219.0,19.8,0.0075,,
0.3710,48,219.7,19.8,0.0075,,
0.3795,49,219.7,19.8,0.0070,,
0.3875,50,220.0,19.8,0.0065,,
0.3960,51,220.1,19.8,0.0075,,
0.4035,52,220.4,19.8,0.0070,,
0.4120,53,220.7,19.8,0.0075,,
0.4205,54,220.8,19.8,0.0070,,
0.4290,55,221.3,19.8,0.0070,,
0.4375,56,222.4,19.8,0.0070,,
0.4450,57,222.9,19.8,0.0070,,
0.4535,58,223.3,19.8,0.0075,,
0.4620,59,223.6,19.8,0.0075,,
0.4705,60,224.1,19.8,0.0070,,
0.4785,61,224.3,19.8,0.0065,,
0.4870,62,224.3,19.8,0.0070,,
0.4945,63,224.4,19.8,0.0070,,
0.5030,64,224.6,19.8,0.0075,,
0.5115,65,224.6,19.8,0.0070,,
0.5200,66,224.9,19.8,0.0070,,
0.5285,67,225.2,19.8,0.0070,,
0.5370,68,225.5,19.8,0.0075,,
0.5445,69,225.8,19.8,0.0070,,
0.5530,70,226.5,19.8,0.0075,,
0.5615,71,227.2,19.8,0.0070,,
0.5695,72,227.7,19.8,0.0065,,
0.5780,73,228.2,19.8,0.0070,,
0.5855,74,228.2,19.8,0.0070,,
0.5940,75,228.5,19.8,0.0075,,
0.6025,76,229.0,19.8,0.0075,,
0.6110,77,229.2,19.8,0.0070,,
0.6195,78,229.5,19.8,0.0070,,
0.6280,79,229.3,19.8,0.0070,,
0.6355,80,229.3,19.8,0.0070,,
0.6440,81,229.1,19.8,0.0075,,
0.6525,82,229.8,19.8,0.0070,,
0.6610,83,229.8,19.8,0.0070,,
0.6690,84,230.0,19.8,0.0065,,
0.6775,85,230.2,19.8,0.0075,,
0.6850,86,230.5,19.8,0.0070,,
0.6935,87,231.4,19.8,0.0075,,
0.7020,88,232.0,19.8,0.0070,,
0.7105,89,232.3,19.8,0.0070,,
0.7190,90,232.2,19.8,0.0070,,
0.7265,91,232.5,19.8,0.0070,,
0.7350,92,232.9,19.8,0.0075,,
0.7435,93,233.2,19.8,0.0075,,
0.7520,94,233.5,19.8,0.0070,,
0.7600,95,233.3,19.8,0.0065,,
0.7685,96,233.5,19.8,0.0075,,
0.7765,97,233.3,19.8,0.0075,,
0.7845,98,233.7,19.8,0.0075,,
0.7930,99,233.7,19.8,0.0070,,
0.8015,100,233.8,19.8,0.0070,,
0.8100,101,233.9,19.8,0.0070,,
0.8175,102,234.1,19.8,0.0070,,
0.8260,103,234.7,19.8,0.0075,,
0.8345,104,235.1,19.8,0.0075,,
0.8430,105,235.6,19.8,0.0070,,
0.8515,106,236.0,19.8,0.0070,,
0.8595,107,236.3,19.8,0.0065,,
0.8675,108,236.0,19.8,0.0075,,
0.8755,109,236.6,19.8,0.0075,,
0.8840,110,237.0,19.8,0.0075,,
0.8925,111,237.0,19.8,0.0070,,
0.9010,112,236.6,19.8,0.0070,,
0.9095,113,237.2,19.8,0.0075,,
0.9170,114,237.2,19.8,0.0070,,
0.9255,115,236.8,19.8,0.0075,,
0.9340,116,237.0,19.8,0.0070,,
0.9425,117,237.2,19.8,0.0070,,
0.9505,118,237.9,19.8,0.0065,,
0.9585,119,238.0,19.8,0.0075,,
0.9670,120,238.7,19.8,0.0075,,
0.9745,121,239.1,19.8,0.0070,,
0.9805,122,239.3,19.8,0.0050,,
0.9860,123,239.1,19.8,0.0045,,
0.9930,124,238.7,19.8,0.0060,,
1.0000,125,238.8,19.8,0.0065,,
1.0030,126,238.6,19.8,0.0025,,
1.0035,127,239.1,19.8,0.0005,,
1.0045,128,239.2,19.8,0.0010,,
1.0045,129,239.1,19.8,0.0000,,
1.0060,130,239.1,19.8,0.0015,,
1.0065,131,239.0,19.8,0.0005,,
1.0070,132,239.5,19.8,0.0005,,
1.0085,133,239.8,19.8,0.0010,,
1.0090,134,240.0,19.8,0.0010,,
Scope 1/1, Sample 7/9 (8-Aug-16 Bin11)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-97.2,19.6,NaN,,
0.0005,1,-100.7,19.5,0.0005,,
0.0020,2,-100.8,19.5,0.0015,,
0.0050,3,-100.8,19.5,0.0025,,
0.0085,4,-100.8,19.5,0.0030,,
0.0145,5,-100.8,19.5,0.0050,,
0.0230,6,-100.8,19.5,0.0070,,
0.0305,7,-100.3,19.5,0.0070,,
0.0390,8,-100.1,19.5,0.0075,,
0.0475,9,-99.5,19.5,0.0070,,
0.0560,10,-99.2,19.5,0.0070,,
0.0645,11,-98.7,19.5,0.0070,,
0.0725,12,-98.2,19.5,0.0075,,
0.0805,13,-98.2,19.5,0.0075,,
0.0890,14,-97.7,19.5,0.0075,,
0.0970,15,-97.0,19.5,0.0065,,
0.1055,16,-96.4,19.5,0.0070,,
0.1140,17,-95.3,19.5,0.0070,,
0.1215,18,-94.8,19.5,0.0070,,
0.1300,19,-93.5,19.5,0.0075,,
0.1385,20,-92.3,19.5,0.0070,,
0.1470,21,-91.7,19.5,0.0070,,
0.1555,22,-90.9,19.5,0.0070,,
0.1640,23,-89.9,19.5,0.0075,,
0.1715,24,-89.3,19.5,0.0070,,
0.1800,25,-88.4,19.5,0.0075,,
0.1880,26,-88.0,19.5,0.0065,,
0.1965,27,-87.5,19.5,0.0070,,
0.2050,28,-86.3,19.5,0.0070,,
0.2125,29,-85.1,19.5,0.0070,,
0.2210,30,-84.2,19.5,0.0075,,
0.2295,31,-82.8,19.5,0.0075,,
0.2380,32,-81.5,19.5,0.0070,,
0.2465,33,-80.2,19.5,0.0070,,
0.2550,34,-79.3,19.5,0.0070,,
0.2625,35,-78.3,19.5,0.0070,,
0.2710,36,-77.6,19.5,0.0075,,
0.2795,37,-76.4,19.5,0.0070,,
0.2875,38,-75.3,19.5,0.0065,,
0.2960,39,-73.8,19.5,0.0070,,
0.3035,40,-72.7,19.5,0.0070,,
0.3120,41,-70.9,19.5,0.0075,,
0.3205,42,-68.9,19.5,0.0075,,
0.3290,43,-67.2,19.5,0.0070,,
0.3375,44,-66.1,19.5,0.0070,,
0.3460,45,-64.7,19.5,0.0070,,
0.3535,46,-62.8,19.5,0.0070,,
0.3620,47,-61.2,19.5,0.0075,,
0.3705,48,-59.2,19.5,0.0070,,
0.3785,49,-56.9,19.5,0.0065,,
0.3870,50,-54.2,19.5,0.0070,,
0.3955,51,-51.7,19.5,0.0075,,
0.4030,52,-48.9,19.5,0.0070,,
0.4115,53,-46.2,19.5,0.0075,,
0.4200,54,-43.3,19.5,0.0070,,
0.4285,55,-40.4,19.5,0.0070,,
0.4370,56,-37.1,19.5,0.0070,,
0.4445,57,-33.9,19.5,0.0070,,
0.4530,58,-30.0,19.5,0.0075,,
0.4615,59,-26.0,19.5,0.0075,,
0.4700,60,-21.8,19.5,0.0070,,
0.4780,61,-17.1,19.5,0.0065,,
0.4865,62,-12.4,19.5,0.0070,,
0.4940,63,-8.8,19.5,0.0070,,
0.5025,64,-5.4,19.5,0.0075,,
0.5110,65,-2.3,19.5,0.0070,,
0.5195,66,-0.5,19.5,0.0070,,
0.5280,67,1.3,19.5,0.0070,,
0.5355,68,3.5,19.5,0.0070,,
0.5440,69,5.1,19.5,0.0075,,
0.5525,70,7.1,19.5,0.0075,,
0.5610,71,8.8,19.5,0.0070,,
0.5695,72,10.4,19.5,0.0070,,
0.5775,73,11.7,19.5,0.0065,,
0.5855,74,13.0,19.5,0.0075,,
0.5935,75,14.1,19.5,0.0075,,
0.6020,76,14.9,19.5,0.0070,,
0.6105,77,16.4,19.5,0.0070,,
0.6190,78,16.8,19.5,0.0070,,
0.6275,79,17.9,19.5,0.0075,,
0.6350,80,18.4,19.5,0.0070,,
0.6435,81,19.5,19.5,0.0075,,
0.6520,82,20.7,19.5,0.0070,,
0.6605,83,21.9,19.5,0.0070,,
0.6685,84,23.3,19.5,0.0065,,
0.6765,85,23.7,19.5,0.0075,,
0.6845,86,25.0,19.5,0.0075,,
0.6930,87,26.1,19.5,0.0075,,
0.7015,88,27.1,19.5,0.0070,,
0.7100,89,27.6,19.5,0.0070,,
0.7185,90,27.8,19.5,0.0070,,
0.7260,91,28.4,19.5,0.0070,,
0.7345,92,29.3,19.5,0.0075,,
0.7430,93,30.3,19.5,0.0070,,
0.7515,94,31.6,19.5,0.0070,,
0.7595,95,32.2,19.5,0.0065,,
0.7680,96,33.2,19.5,0.0070,,
0.7755,97,33.5,19.5,0.0070,,
0.7840,98,34.6,19.5,0.0075,,
0.7925,99,36.1,19.5,0.0070,,
0.8010,100,36.9,19.5,0.0070,,
0.8095,101,37.8,19.5,0.0070,,
0.8180,102,38.4,19.5,0.0075,,
0.8255,103,38.8,19.5,0.0070,,
0.8340,104,39.1,19.5,0.0075,,
0.8425,105,40.0,19.5,0.0070,,
0.8510,106,41.5,19.5,0.0070,,
0.8590,107,42.8,19.5,0.0065,,
0.8670,108,43.7,19.5,0.0075,,
0.8750,109,44.4,19.5,0.0075,,
0.8835,110,45.2,19.5,0.0070,,
0.8920,111,45.5,19.5,0.0070,,
0.9005,112,45.7,19.5,0.0070,,
0.9080,113,46.6,19.5,0.0070,,
0.9165,114,48.0,19.5,0.0075,,
0.9250,115,49.4,19.5,0.0075,,
0.9335,116,50.2,19.5,0.0070,,
0.9420,117,51.0,19.5,0.0070,,
0.9505,118,51.9,19.5,0.0070,,
0.9580,119,52.3,19.5,0.0070,,
0.9665,120,52.8,19.5,0.0075,,
0.9745,121,53.4,19.5,0.0065,,
0.9830,122,54.9,19.5,0.0070,,
0.9915,123,55.8,19.5,0.0070,,
1.0000,124,56.4,19.5,0.0075,,
1.0075,125,57.7,19.5,0.0070,,
1.0160,126,58.6,19.5,0.0075,,
1.0245,127,59.4,19.5,0.0070,,
1.0330,128,60.0,19.5,0.0070,,
1.0415,129,60.3,19.5,0.0070,,
1.0490,130,61.3,19.5,0.0070,,
1.0575,131,62.0,19.5,0.0075,,
1.0660,132,62.9,19.5,0.0075,,
1.0740,133,64.3,19.5,0.0065,,
1.0825,134,65.2,19.5,0.0070,,
1.0910,135,67.1,19.5,0.0070,,
1.0985,136,68.2,19.5,0.0070,,
1.1070,137,68.8,19.5,0.0075,,
1.1155,138,69.2,19.5,0.0070,,
1.1240,139,70.5,19.5,0.0070,,
1.1325,140,72.3,19.5,0.0070,,
1.1400,141,73.1,19.5,0.0070,,
1.1485,142,74.8,19.5,0.0075,,
1.1570,143,76.4,19.5,0.0075,,
1.1650,144,77.8,19.5,0.0065,,
1.1735,145,78.5,19.5,0.0070,,
1.1820,146,79.7,19.5,0.0075,,
1.1895,147,81.1,19.5,0.0070,,
1.1980,148,82.7,19.5,0.0075,,
1.2065,149,83.8,19.5,0.0070,,
1.2150,150,85.5,19.5,0.0070,,
1.2235,151,87.9,19.5,0.0070,,
1.2310,152,90.0,19.5,0.0070,,
1.2395,153,91.9,19.5,0.0075,,
1.2480,154,93.8,19.5,0.0075,,
1.2565,155,95.6,19.5,0.0070,,
1.2645,156,98.0,19.5,0.0065,,
1.2730,157,100.0,19.5,0.0070,,
1.2805,158,102.1,19.5,0.0070,,
1.2890,159,104.9,19.5,0.0075,,
1.2975,160,107.8,19.5,0.0070,,
1.3060,161,111.8,19.5,0.0070,,
1.3145,162,115.6,19.5,0.0070,,
1.3230,163,118.7,19.5,0.0075,,
1.3305,164,122.4,19.5,0.0070,,
1.3390,165,126.6,19.5,0.0075,,
1.3475,166,131.4,19.5,0.0070,,
1.3555,167,136.1,19.5,0.0065,,
1.3640,168,139.8,19.5,0.0070,,
1.3720,169,143.5,19.5,0.0075,,
1.3800,170,147.8,19.5,0.0075,,
1.3885,171,152.1,19.5,0.0075,,
1.3970,172,155.7,19.5,0.0070,,
1.4055,173,159.9,19.5,0.0070,,
1.4140,174,163.7,19.5,0.0070,,
1.4215,175,166.6,19.5,0.0070,,
1.4300,176,169.7,19.5,0.0075,,
1.4385,177,172.2,19.5,0.0070,,
1.4470,178,174.1,19.5,0.0070,,
1.4550,179,176.2,19.5,0.0065,,
1.4635,180,177.9,19.5,0.0075,,
1.4710,181,179.5,19.5,0.0070,,
1.4795,182,181.3,19.5,0.0075,,
1.4880,183,183.4,19.5,0.0070,,
1.4960,184,185.2,19.5,0.0065,,
1.5005,185,186.9,19.5,0.0035,,
1.5020,186,187.6,19.5,0.0015,,
1.5025,187,187.8,19.5,0.0005,,
1.5040,188,187.3,19.5,0.0010,,
1.5055,189,187.3,19.5,0.0010,,
1.5080,190,187.9,19.5,0.0020,,
1.5095,191,188.0,19.5,0.0015,,
1.5100,192,189.1,19.5,0.0005,,
