Raw Data
Scope 1/1, Sample 1/9 (129)
Method Function,Sample (S1)
0.3375,44,219.2,21.9,0.0075,,
0.3460,45,219.7,21.9,0.0070,,
0.3545,46,220.1,21.9,0.0070,,
0.3630,47,220.3,21.9,0.0070,,
0.3715,48,220.6,21.9,0.0075,,
0.3790,49,220.6,21.9,0.0070,,
0.3875,50,221.4,21.9,0.0075,,
0.3955,51,221.8,21.9,0.0065,,
0.4040,52,222.3,21.9,0.0070,,
0.4125,53,222.2,21.9,0.0070,,
0.4200,54,222.7,21.9,0.0070,,
0.4285,55,223.0,21.9,0.0075,,
0.4370,56,222.8,21.9,0.0075,,
0.4455,57,223.5,21.9,0.0070,,
0.4540,58,223.6,21.9,0.0070,,
0.4625,59,224.0,21.9,0.0070,,
0.4700,60,224.2,21.9,0.0070,,
0.4785,61,224.6,21.9,0.0075,,
0.4865,62,224.9,21.9,0.0075,,
0.4950,63,225.2,21.9,0.0070,,
0.5035,64,225.6,21.9,0.0070,,
0.5120,65,225.9,21.9,0.0070,,
0.5195,66,226.6,21.9,0.0070,,
0.5280,67,227.0,21.9,0.0075,,
0.5365,68,227.4,21.9,0.0075,,
0.5450,69,227.5,21.9,0.0070,,
0.5530,70,227.8,21.9,0.0065,,
0.5615,71,227.8,21.9,0.0070,,
0.5690,72,228.1,21.9,0.0070,,
0.5775,73,228.4,21.9,0.0075,,
0.5860,74,228.7,21.9,0.0075,,
0.5945,75,229.2,21.9,0.0070,,
0.6030,76,229.7,21.9,0.0070,,
0.6115,77,230.0,21.9,0.0070,,
0.6190,78,230.5,21.9,0.0070,,
0.6275,79,230.8,21.9,0.0075,,
0.6360,80,230.6,21.9,0.0070,,
0.6440,81,231.1,21.9,0.0065,,
0.6525,82,231.5,21.9,0.0070,,
0.6610,83,231.8,21.9,0.0070,,
0.6685,84,232.6,21.9,0.0070,,
0.6770,85,232.8,21.9,0.0075,,
0.6855,86,233.0,21.9,0.0075,,
0.6940,87,233.4,21.9,0.0070,,
0.7025,88,233.6,21.9,0.0070,,
0.7105,89,233.8,21.9,0.0065,,
0.7185,90,234.1,21.9,0.0075,,
0.7265,91,234.3,21.9,0.0075,,
0.7350,92,234.5,21.9,0.0075,,
0.7435,93,234.4,21.9,0.0070,,
0.7520,94,234.5,21.9,0.0070,,
0.7605,95,234.8,21.9,0.0070,,
0.7680,96,235.1,21.9,0.0070,,
0.7765,97,235.5,21.9,0.0075,,
0.7850,98,236.0,21.9,0.0075,,
0.7930,99,235.9,21.9,0.0065,,
0.8015,100,235.6,21.9,0.0070,,
0.8100,101,236.0,21.9,0.0070,,
0.8175,102,236.3,21.9,0.0070,,
0.8260,103,236.7,21.9,0.0075,,
0.8345,104,236.8,21.9,0.0070,,
0.8430,105,236.9,21.9,0.0070,,
0.8515,106,236.8,21.9,0.0070,,
0.8600,107,237.1,21.9,0.0075,,
0.8675,108,237.2,21.9,0.0070,,
0.8755,109,238.0,21.9,0.0075,,
0.8770,110,238.3,21.9,0.0015,,
0.8775,111,238.5,21.9,0.0005,,
0.8790,112,238.4,21.9,0.0010,,
0.8805,113,238.4,21.9,0.0010,,
0.8825,114,238.6,21.9,0.0020,,
0.8840,115,238.2,21.9,0.0015,,
0.8850,116,238.2,21.9,0.0010,,
0.8865,117,238.6,21.9,0.0010,,
0.8875,118,238.8,21.9,0.0010,,
0.8880,119,238.8,21.9,0.0005,,
0.8890,120,238.9,21.9,0.0010,,
0.8905,121,238.9,21.9,0.0015,,
0.8920,122,238.9,21.9,0.0015,,
0.8935,123,238.9,21.9,0.0010,,
0.8960,124,238.6,21.9,0.0020,,
0.9005,125,238.6,21.9,0.0035,,
0.9035,126,239.1,21.9,0.0025,,
0.9050,127,239.2,21.9,0.0015,,
0.9055,128,239.2,21.9,0.0005,,
0.9060,129,239.3,21.9,0.0005,,
0.9070,130,239.2,21.9,0.0010,,
0.9085,131,239.2,21.9,0.0015,,
0.9100,132,238.7,21.9,0.0015,,
0.9130,133,238.3,21.9,0.0025,,
0.9165,134,238.4,21.9,0.0030,,
0.9200,135,238.3,21.9,0.0030,,
0.9205,136,238.5,21.9,0.0005,,
0.9210,137,239.1,21.9,0.0005,,
0.9215,138,239.5,21.9,0.0005,,
0.9225,139,239.4,21.9,0.0010,,
0.9235,140,239.3,21.9,0.0010,,
0.9240,141,239.1,21.9,0.0005,,
0.9245,142,239.4,21.9,0.0005,,
0.9250,143,239.7,21.9,0.0005,,
0.9260,144,239.8,21.9,0.0010,,
0.9265,145,239.8,21.9,0.0005,,
0.9275,146,239.8,21.9,0.0010,,
0.9285,147,239.8,21.9,0.0010,,
0.9295,148,239.7,21.9,0.0010,,
0.9305,149,239.4,21.9,0.0010,,
0.9315,150,239.5,21.9,0.0010,,
0.9320,151,239.6,21.9,0.0005,,
0.9320,152,239.1,21.9,0.0000,,
0.9330,153,239.3,21.9,0.0010,,
0.9340,154,239.0,21.9,0.0010,,
0.9345,155,238.8,21.9,0.0005,,
0.9355,156,240.0,21.9,0.0010,,
Scope 1/1, Sample 6/9 (157)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-96.6,21.6,NaN,,
0.0005,1,-99.9,21.5,0.0005,,
0.0020,2,-99.9,21.5,0.0015,,
0.0050,3,-100.5,21.5,0.0025,,
0.0085,4,-101.1,21.5,0.0030,,
0.0145,5,-101.1,21.5,0.0050,,
0.0230,6,-101.0,21.5,0.0070,,
0.0305,7,-101.0,21.5,0.0070,,
0.0390,8,-100.5,21.5,0.0075,,
0.0475,9,-100.0,21.5,0.0075,,
0.0560,10,-99.3,21.5,0.0070,,
0.0645,11,-98.8,21.5,0.0070,,
0.0725,12,-98.5,21.5,0.0065,,
0.0805,13,-98.0,21.5,0.0075,,
0.0885,14,-97.3,21.5,0.0075,,
0.0970,15,-96.6,21.5,0.0070,,
0.1055,16,-95.8,21.5,0.0070,,
0.1140,17,-95.2,21.5,0.0070,,
0.1225,18,-94.5,21.5,0.0070,,
0.1300,19,-93.7,21.5,0.0070,,
0.1385,20,-92.3,21.5,0.0075,,
0.1470,21,-92.1,21.5,0.0070,,
0.1550,22,-90.7,21.5,0.0065,,
0.1635,23,-90.0,21.5,0.0070,,
0.1720,24,-89.0,21.5,0.0075,,
0.1795,25,-88.2,21.5,0.0070,,
0.1880,26,-87.7,21.5,0.0075,,
0.1965,27,-86.7,21.5,0.0070,,
0.2050,28,-85.8,21.5,0.0070,,
0.2135,29,-84.5,21.5,0.0070,,
0.2210,30,-83.7,21.5,0.0070,,
0.2295,31,-82.5,21.5,0.0075,,
0.2380,32,-81.5,21.5,0.0075,,
0.2460,33,-80.2,21.5,0.0065,,
0.2545,34,-78.9,21.5,0.0070,,
0.2630,35,-77.4,21.5,0.0070,,
0.2705,36,-76.4,21.5,0.0070,,
0.2790,37,-75.0,21.5,0.0075,,
0.2875,38,-73.6,21.5,0.0075,,
0.2960,39,-72.5,21.5,0.0070,,
0.3045,40,-70.9,21.5,0.0070,,
0.3125,41,-69.6,21.5,0.0065,,
0.3205,42,-68.0,21.5,0.0075,,
0.3285,43,-66.1,21.5,0.0075,,
0.3370,44,-64.3,21.5,0.0075,,
0.3455,45,-62.2,21.5,0.0070,,
0.3540,46,-60.4,21.5,0.0070,,
0.3625,47,-57.9,21.5,0.0070,,
0.3700,48,-55.7,21.5,0.0070,,
0.3785,49,-53.4,21.5,0.0075,,
0.3870,50,-51.4,21.5,0.0075,,
0.3950,51,-48.4,21.5,0.0065,,
0.4035,52,-45.6,21.5,0.0070,,
0.4120,53,-42.4,21.5,0.0070,,
0.4205,54,-38.7,21.5,0.0075,,
0.4280,55,-34.9,21.5,0.0070,,
0.4365,56,-31.0,21.5,0.0075,,
0.4450,57,-27.5,21.5,0.0070,,
0.4535,58,-23.5,21.5,0.0070,,
0.4620,59,-19.6,21.5,0.0070,,
0.4695,60,-15.7,21.5,0.0070,,
0.4780,61,-11.6,21.5,0.0075,,
0.4860,62,-8.2,21.5,0.0075,,
0.4945,63,-4.9,21.5,0.0070,,
0.5030,64,-2.2,21.5,0.0070,,
0.5115,65,1.2,21.5,0.0070,,
0.5190,66,2.5,21.5,0.0070,,
0.5275,67,4.6,21.5,0.0075,,
0.5360,68,6.2,21.5,0.0075,,
0.5445,69,7.5,21.5,0.0070,,
0.5525,70,8.8,21.5,0.0065,,
0.5610,71,10.3,21.5,0.0070,,
0.5685,72,11.6,21.5,0.0070,,
0.5770,73,13.3,21.5,0.0075,,
0.5855,74,14.7,21.5,0.0075,,
0.5940,75,15.6,21.5,0.0070,,
0.6025,76,17.0,21.5,0.0070,,
0.6110,77,18.0,21.5,0.0070,,
0.6185,78,19.0,21.5,0.0070,,
0.6270,79,19.6,21.5,0.0075,,
0.6350,80,20.1,21.5,0.0075,,
0.6435,81,21.3,21.5,0.0070,,
0.6520,82,22.3,21.5,0.0070,,
0.6605,83,23.2,21.5,0.0070,,
0.6680,84,24.0,21.5,0.0070,,
0.6765,85,25.3,21.5,0.0075,,
0.6850,86,26.8,21.5,0.0075,,
0.6935,87,27.7,21.5,0.0070,,
0.7015,88,28.2,21.5,0.0065,,
0.7100,89,28.9,21.5,0.0070,,
0.7175,90,29.7,21.5,0.0070,,
0.7260,91,30.6,21.5,0.0075,,
0.7345,92,32.0,21.5,0.0075,,
0.7430,93,32.5,21.5,0.0070,,
0.7515,94,33.6,21.5,0.0070,,
0.7600,95,34.8,21.5,0.0070,,
0.7675,96,35.3,21.5,0.0070,,
0.7760,97,36.3,21.5,0.0075,,
0.7845,98,37.0,21.6,0.0075,,
0.7925,99,37.9,21.5,0.0065,,
0.8010,100,38.9,21.5,0.0070,,
0.8095,101,40.0,21.5,0.0070,,
0.8170,102,40.8,21.5,0.0070,,
0.8255,103,41.4,21.5,0.0075,,
0.8340,104,42.4,21.5,0.0075,,
0.8425,105,42.9,21.5,0.0070,,
0.8510,106,43.7,21.5,0.0070,,
0.8590,107,44.6,21.5,0.0065,,
0.8670,108,45.5,21.5,0.0075,,
0.8755,109,46.3,21.5,0.0075,,
0.8835,110,47.2,21.5,0.0065,,
0.8920,111,48.0,21.5,0.0070,,
0.9005,112,48.9,21.5,0.0070,,
0.9090,113,50.5,21.5,0.0070,,
0.9165,114,51.7,21.6,0.0070,,
0.9250,115,52.8,21.6,0.0075,,
0.9335,116,53.6,21.6,0.0075,,
0.9415,117,54.5,21.6,0.0065,,
0.9500,118,55.6,21.6,0.0070,,
0.9585,119,56.4,21.6,0.0070,,
0.9660,120,56.9,21.6,0.0070,,
0.9745,121,58.0,21.6,0.0075,,
0.9830,122,58.7,21.6,0.0075,,
0.9915,123,58.9,21.6,0.0070,,
1.0000,124,59.8,21.6,0.0070,,
1.0080,125,60.8,21.6,0.0065,,
1.0165,126,62.3,21.6,0.0075,,
1.0240,127,63.4,21.6,0.0070,,
1.0325,128,64.4,21.6,0.0075,,
1.0410,129,65.5,21.6,0.0070,,
1.0495,130,66.5,21.6,0.0070,,
1.0580,131,67.8,21.6,0.0070,,
1.0665,132,69.0,21.6,0.0075,,
1.0740,133,70.1,21.6,0.0070,,
1.0825,134,70.6,21.6,0.0075,,
1.0910,135,71.9,21.6,0.0070,,
1.0990,136,73.4,21.6,0.0065,,
1.1075,137,74.6,21.6,0.0070,,
1.1150,138,76.1,21.6,0.0070,,
1.1235,139,78.3,21.6,0.0075,,
1.1320,140,80.1,21.6,0.0075,,
1.1405,141,81.5,21.6,0.0070,,
1.1490,142,83.2,21.6,0.0070,,
1.1575,143,84.6,21.6,0.0070,,
1.1650,144,86.2,21.6,0.0070,,
1.1735,145,87.8,21.6,0.0075,,
1.1815,146,89.4,21.6,0.0075,,
1.1900,147,91.9,21.6,0.0070,,
1.1985,148,94.1,21.6,0.0070,,
1.2070,149,96.5,21.6,0.0070,,
1.2145,150,98.4,21.6,0.0070,,
1.2230,151,101.0,21.6,0.0075,,
1.2315,152,103.8,21.6,0.0075,,
1.2400,153,106.7,21.6,0.0070,,
1.2485,154,110.1,21.6,0.0070,,
1.2565,155,113.7,21.6,0.0065,,
1.2640,156,116.8,21.6,0.0070,,
1.2725,157,120.6,21.6,0.0075,,
1.2810,158,124.9,21.6,0.0075,,
1.2895,159,129.8,21.6,0.0070,,
1.2980,160,134.0,21.6,0.0070,,
1.3065,161,138.9,21.6,0.0070,,
1.3140,162,143.0,21.6,0.0070,,
1.3225,163,148.3,21.6,0.0075,,
1.3305,164,152.4,21.6,0.0075,,
1.3390,165,156.8,21.6,0.0070,,
1.3475,166,160.8,21.6,0.0070,,
1.3560,167,164.4,21.6,0.0070,,
1.3635,168,167.2,21.6,0.0070,,
1.3720,169,170.2,21.6,0.0075,,
1.3805,170,172.8,21.6,0.0070,,
1.3890,171,175.1,21.6,0.0070,,
1.3975,172,177.4,21.6,0.0070,,
1.4055,173,179.0,21.6,0.0065,,
1.4130,174,180.4,21.6,0.0070,,
1.4215,175,182.1,21.6,0.0075,,
1.4285,176,183.8,21.6,0.0065,,
1.4325,177,185.2,21.6,0.0035,,
1.4345,178,186.5,21.6,0.0015,,
1.4360,179,187.2,21.6,0.0010,,
1.4370,180,187.1,21.6,0.0010,,
1.4385,181,187.1,21.6,0.0015,,
1.4395,182,187.3,21.6,0.0010,,
1.4400,183,187.9,21.6,0.0005,,
1.4410,184,188.1,21.6,0.0010,,
1.4420,185,188.4,21.6,0.0010,,
1.4425,186,189.0,21.6,0.0005,,
1.4435,187,189.2,21.6,0.0010,,
1.4440,188,189.2,21.6,0.0005,,
1.4445,189,189.2,21.6,0.0005,,
1.4450,190,189.4,21.6,0.0005,,
1.4455,191,189.1,21.6,0.0005,,
1.4460,192,188.6,21.6,0.0005,,
1.4470,193,188.8,21.6,0.0010,,
1.4475,194,189.5,21.6,0.0005,,
1.4485,195,189.3,21.6,0.0010,,
1.4495,196,189.8,21.6,0.0010,,
1.4495,196,190.1,21.6,0.0000,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,190.2,21.8,NaN,,
0.0005,1,190.0,21.8,0.0005,,
0.0020,2,189.8,21.8,0.0015,,
0.0050,3,190.1,21.8,0.0025,,
0.0085,4,190.1,21.8,0.0030,,
0.0150,5,190.5,21.8,0.0055,,
0.0235,6,191.4,21.8,0.0070,,
0.0310,7,193.2,21.8,0.0070,,
0.0395,8,194.5,21.8,0.0075,,
0.0480,9,195.8,21.8,0.0075,,
0.0560,10,196.7,21.8,0.0065,,
0.0645,11,197.7,21.8,0.0070,,
0.0730,12,198.9,21.8,0.0070,,
0.0805,13,199.6,21.8,0.0070,,
0.0890,14,200.4,21.8,0.0075,,
0.0975,15,201.6,21.8,0.0075,,
0.1060,16,202.3,21.8,0.0070,,
0.1145,17,203.2,21.8,0.0070,,
0.1230,18,203.9,21.8,0.0070,,
0.1305,19,204.8,21.8,0.0070,,
0.1385,20,205.5,21.8,0.0075,,
0.1470,21,206.2,21.8,0.0075,,
0.1555,22,206.5,21.8,0.0070,,
0.1640,23,207.5,21.8,0.0070,,
0.1725,24,208.2,21.8,0.0070,,
0.1800,25,208.7,21.8,0.0070,,
0.1885,26,209.6,21.8,0.0075,,
0.1970,27,210.4,21.8,0.0075,,
0.2055,28,210.9,21.8,0.0070,,
0.2135,29,211.6,21.8,0.0065,,
0.2220,30,211.6,21.8,0.0070,,
0.2295,31,212.4,21.8,0.0070,,
0.2380,32,212.9,21.8,0.0075,,
0.2465,33,213.4,21.8,0.0075,,
0.2550,34,213.4,21.8,0.0070,,
0.2635,35,214.3,21.8,0.0070,,
0.2720,36,215.4,21.8,0.0070,,
0.2795,37,216.0,21.8,0.0070,,
0.2880,38,216.4,21.8,0.0075,,
0.2960,39,216.9,21.8,0.0075,,
0.3045,40,217.4,21.8,0.0070,,
0.3130,41,217.9,21.8,0.0070,,
0.3215,42,218.4,21.8,0.0070,,
0.3290,43,218.7,21.8,0.0070,,
0.3375,44,218.9,21.8,0.0075,,
0.3460,45,219.5,21.8,0.0075,,
0.3545,46,219.7,21.8,0.0070,,
0.3625,47,219.7,21.8,0.0065,,
0.3710,48,220.0,21.8,0.0070,,
0.3795,49,220.2,21.8,0.0075,,
0.3870,50,220.9,21.8,0.0070,,
0.3955,51,221.8,21.8,0.0075,,
0.4040,52,222.2,21.8,0.0070,,
0.4125,53,221.9,21.8,0.0070,,
0.4210,54,222.5,21.8,0.0070,,
0.4290,55,222.5,21.8,0.0075,,
0.4370,56,223.0,21.8,0.0075,,
0.4450,57,223.7,21.8,0.0075,,
0.4535,58,224.5,21.8,0.0070,,
0.4620,59,224.9,21.8,0.0070,,
0.4705,60,225.3,21.8,0.0070,,
0.4780,61,224.8,21.8,0.0070,,
0.4865,62,224.9,21.8,0.0075,,
0.4950,63,225.2,21.8,0.0075,,
0.5035,64,225.6,21.8,0.0070,,
0.5115,65,225.9,21.8,0.0065,,
0.5200,66,226.3,21.8,0.0070,,
0.5275,67,226.6,21.8,0.0070,,
0.5360,68,226.9,21.8,0.0075,,
0.5445,69,227.3,21.8,0.0075,,
0.5530,70,227.4,21.8,0.0070,,
0.5615,71,227.8,21.8,0.0070,,
0.5700,72,228.1,21.8,0.0070,,
0.5775,73,228.4,21.8,0.0070,,
0.5860,74,228.7,21.8,0.0075,,
0.5945,75,229.1,21.8,0.0075,,
0.6025,76,229.7,21.8,0.0065,,
0.6110,77,230.1,21.8,0.0070,,
0.6195,78,230.6,21.8,0.0070,,
0.6270,79,230.7,21.8,0.0070,,
0.6355,80,231.2,21.8,0.0075,,
0.6440,81,231.6,21.8,0.0075,,
0.6525,82,231.8,21.8,0.0070,,
0.6610,83,232.3,21.8,0.0070,,
0.6695,84,232.6,21.8,0.0070,,
0.6770,85,232.8,21.8,0.0070,,
0.6850,86,232.9,21.8,0.0075,,
0.6935,87,233.0,21.8,0.0075,,
0.7020,88,233.1,21.8,0.0070,,
0.7105,89,233.5,21.8,0.0070,,
0.7190,90,233.7,21.8,0.0070,,
0.7265,91,233.5,21.8,0.0070,,
0.7350,92,233.6,21.8,0.0075,,
0.7435,93,233.6,21.8,0.0075,,
0.7515,94,233.9,21.8,0.0065,,
0.7600,95,234.4,21.8,0.0070,,
0.7685,96,234.3,21.8,0.0070,,
0.7760,97,234.5,21.8,0.0070,,
0.7845,98,234.9,21.8,0.0075,,
0.7930,99,235.0,21.8,0.0075,,
0.8015,100,235.3,21.8,0.0070,,
0.8100,101,235.7,21.8,0.0070,,
0.8180,102,235.9,21.8,0.0065,,
0.8260,103,235.8,21.8,0.0075,,
0.8340,104,236.3,21.8,0.0075,,
0.8420,105,237.4,21.8,0.0075,,
0.8440,106,237.7,21.8,0.0020,,
0.8450,107,237.8,21.8,0.0010,,
0.8460,108,237.4,21.8,0.0010,,
0.8470,109,237.4,21.8,0.0010,,
0.8490,110,237.4,21.8,0.0020,,
0.8515,111,237.7,21.8,0.0025,,
0.8560,112,237.9,21.8,0.0035,,
0.8620,113,238.0,21.8,0.0050,,
0.8700,114,238.0,21.8,0.0065,,
0.8780,115,238.1,21.8,0.0075,,
0.8860,116,238.6,21.8,0.0075,,
0.8880,117,238.7,21.8,0.0020,,
0.8885,118,238.8,21.8,0.0005,,
0.8895,119,238.7,21.8,0.0010,,
0.8905,120,238.8,21.8,0.0010,,
0.8920,121,238.9,21.8,0.0015,,
0.8930,122,238.9,21.8,0.0010,,
0.8940,123,238.8,21.8,0.0010,,
0.8945,124,238.8,21.8,0.0005,,
0.8955,125,239.0,21.8,0.0010,,
0.8970,126,239.0,21.8,0.0010,,
0.8995,127,239.0,21.8,0.0025,,
0.9020,128,239.0,21.8,0.0025,,
0.9060,129,238.9,21.8,0.0035,,
0.9125,130,239.3,21.8,0.0055,,
0.9145,131,239.4,21.8,0.0015,,
0.9150,132,239.4,21.8,0.0005,,
0.9155,133,239.4,21.8,0.0005,,
0.9165,134,239.5,21.8,0.0010,,
0.9180,135,239.5,21.8,0.0015,,
0.9190,136,239.5,21.8,0.0010,,
0.9195,137,239.4,21.8,0.0005,,
0.9210,138,239.4,21.8,0.0010,,
0.9220,139,239.5,21.8,0.0010,,
0.9230,140,239.5,21.8,0.0010,,
0.9235,141,239.5,21.8,0.0005,,
0.9245,142,239.4,21.8,0.0010,,
0.9255,143,239.5,21.8,0.0010,,
0.9265,144,239.5,21.8,0.0010,,
0.9270,145,239.4,21.8,0.0005,,
0.9280,146,239.7,21.8,0.0010,,
0.9290,147,239.7,21.8,0.0010,,
0.9305,148,239.8,21.8,0.0010,,
0.9310,149,239.9,21.8,0.0005,,
0.9320,150,239.8,21.8,0.0010,,
0.9325,151,239.7,21.8,0.0005,,
0.9335,152,239.7,21.8,0.0010,,
0.9345,153,239.7,21.8,0.0010,,
0.9355,154,239.6,21.8,0.0010,,
0.9365,155,239.8,21.8,0.0010,,
0.9375,156,239.6,21.8,0.0010,,
0.9385,157,239.5,21.8,0.0010,,
0.9390,158,239.7,21.8,0.0005,,
0.9395,159,239.6,21.8,0.0005,,
0.9400,160,240.0,21.8,0.0010,,
Scope 1/1, Sample 7/9 (159)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-96.6,21.6,NaN,,
0.0005,1,-101.0,21.6,0.0005,,
0.0020,2,-101.4,21.6,0.0015,,
0.0050,3,-101.3,21.6,0.0025,,
0.0085,4,-100.9,21.6,0.0030,,
0.0150,5,-100.9,21.6,0.0055,,
0.0235,6,-101.1,21.6,0.0070,,
0.0310,7,-100.7,21.6,0.0070,,
0.0395,8,-101.0,21.6,0.0075,,
0.0480,9,-100.5,21.6,0.0070,,
0.0565,10,-99.7,21.6,0.0070,,
0.0645,11,-99.0,21.6,0.0065,,
0.0730,12,-98.9,21.6,0.0075,,
0.0805,13,-98.0,21.6,0.0070,,
0.0890,14,-97.2,21.6,0.0075,,
0.0975,15,-96.4,21.6,0.0070,,
0.1060,16,-95.7,21.6,0.0070,,
0.1145,17,-95.0,21.6,0.0070,,
0.1230,18,-94.4,21.6,0.0075,,
0.1305,19,-93.7,21.6,0.0070,,
0.1390,20,-93.0,21.6,0.0075,,
0.1475,21,-92.3,21.6,0.0070,,
0.1555,22,-91.6,21.6,0.0065,,
0.1640,23,-90.7,21.6,0.0070,,
0.1725,24,-90.0,21.6,0.0075,,
0.1800,25,-89.1,21.6,0.0070,,
0.1885,26,-88.3,21.6,0.0075,,
0.1970,27,-87.6,21.6,0.0070,,
0.2055,28,-86.7,21.6,0.0070,,
0.2140,29,-85.7,21.6,0.0070,,
0.2220,30,-84.7,21.6,0.0075,,
0.2300,31,-83.7,21.6,0.0075,,
0.2380,32,-83.0,21.6,0.0075,,
0.2465,33,-81.8,21.6,0.0070,,
0.2550,34,-80.7,21.6,0.0070,,
0.2635,35,-79.4,21.6,0.0070,,
0.2710,36,-78.3,21.6,0.0070,,
0.2795,37,-77.5,21.6,0.0075,,
0.2880,38,-76.7,21.6,0.0075,,
0.2965,39,-75.8,21.6,0.0070,,
0.3045,40,-74.5,21.6,0.0065,,
0.3130,41,-72.9,21.6,0.0070,,
0.3215,42,-71.3,21.6,0.0070,,
0.3290,43,-69.5,21.6,0.0070,,
0.3375,44,-68.5,21.6,0.0075,,
0.3460,45,-67.3,21.6,0.0075,,
0.3545,46,-65.2,21.6,0.0070,,
0.3630,47,-63.6,21.6,0.0070,,
0.3710,48,-61.9,21.6,0.0065,,
0.3790,49,-59.6,21.6,0.0075,,
0.3870,50,-57.8,21.6,0.0075,,
0.3955,51,-55.8,21.6,0.0070,,
0.4040,52,-53.5,21.6,0.0070,,
0.4125,53,-51.4,21.6,0.0070,,
0.4210,54,-48.6,21.6,0.0070,,
0.4285,55,-45.7,21.6,0.0070,,
0.4370,56,-42.9,21.6,0.0075,,
0.4455,57,-39.7,21.6,0.0075,,
0.4535,58,-36.8,21.6,0.0065,,
0.4620,59,-33.9,21.6,0.0070,,
0.4705,60,-30.2,21.6,0.0070,,
0.4780,61,-26.0,21.6,0.0070,,
0.4865,62,-22.0,21.6,0.0075,,
0.4950,63,-17.6,21.6,0.0075,,
0.5035,64,-13.2,21.6,0.0070,,
0.5120,65,-10.0,21.6,0.0070,,
0.5200,66,-7.1,21.6,0.0065,,
0.5280,67,-3.8,21.6,0.0075,,
0.5360,68,-1.5,21.6,0.0075,,
0.5445,69,0.1,21.6,0.0070,,
0.5530,70,1.5,21.6,0.0070,,
0.5615,71,3.2,21.6,0.0070,,
0.5700,72,5.0,21.6,0.0075,,
0.5775,73,6.8,21.6,0.0070,,
0.5860,74,8.0,21.6,0.0075,,
0.5945,75,9.0,21.6,0.0070,,
0.6030,76,10.7,21.6,0.0070,,
0.6110,77,11.5,21.6,0.0065,,
0.6195,78,13.1,21.6,0.0075,,
0.6270,79,14.0,21.6,0.0070,,
0.6355,80,15.5,21.6,0.0075,,
0.6440,81,16.2,21.6,0.0070,,
0.6525,82,17.5,21.6,0.0070,,
0.6610,83,18.3,21.6,0.0070,,
0.6695,84,19.1,21.6,0.0075,,
0.6770,85,20.0,21.6,0.0070,,
0.6855,86,20.8,21.6,0.0075,,
0.6940,87,21.8,21.6,0.0070,,
0.7020,88,22.9,21.6,0.0065,,
0.7105,89,24.5,21.6,0.0070,,
0.7190,90,25.3,21.6,0.0075,,
0.7265,91,26.6,21.6,0.0070,,
0.7350,92,26.7,21.6,0.0075,,
0.7435,93,27.2,21.6,0.0070,,
0.7520,94,28.1,21.6,0.0070,,
0.7605,95,29.5,21.6,0.0070,,
0.7680,96,29.6,21.6,0.0070,,
0.7765,97,30.6,21.6,0.0075,,
0.7845,98,31.8,21.6,0.0075,,
0.7930,99,32.5,21.6,0.0070,,
0.8015,100,33.3,21.6,0.0070,,
0.8100,101,34.5,21.6,0.0070,,
0.8185,102,35.4,21.6,0.0075,,
0.8260,103,36.0,21.6,0.0070,,
0.8345,104,36.3,21.6,0.0075,,
0.8430,105,37.2,21.6,0.0070,,
0.8510,106,38.4,21.6,0.0065,,
0.8595,107,38.7,21.6,0.0070,,
0.8670,108,39.5,21.6,0.0070,,
0.8755,109,40.3,21.6,0.0075,,
0.8840,110,41.1,21.6,0.0075,,
0.8925,111,41.8,21.6,0.0070,,
0.9010,112,42.6,21.6,0.0070,,
0.9095,113,43.2,21.6,0.0070,,
0.9170,114,44.5,21.6,0.0070,,
0.9255,115,45.2,21.6,0.0075,,
0.9335,116,46.1,21.6,0.0075,,
0.9420,117,47.0,21.6,0.0070,,
0.9505,118,47.6,21.6,0.0070,,
0.9590,119,48.1,21.6,0.0070,,
0.9665,120,49.1,21.6,0.0070,,
0.9750,121,50.1,21.6,0.0075,,
0.9835,122,51.4,21.6,0.0075,,
0.9920,123,52.3,21.6,0.0070,,
1.0000,124,53.1,21.6,0.0065,,
1.0085,125,53.9,21.6,0.0070,,
1.0170,126,54.6,21.6,0.0075,,
1.0245,127,55.4,21.6,0.0070,,
1.0330,128,56.2,21.6,0.0075,,
1.0415,129,56.8,21.6,0.0070,,
1.0500,130,57.3,21.6,0.0070,,
1.0585,131,58.3,21.6,0.0070,,
1.0670,132,59.4,21.6,0.0075,,
1.0745,133,60.2,21.6,0.0070,,
1.0830,134,61.5,21.6,0.0075,,
1.0910,135,62.4,21.6,0.0065,,
1.0995,136,62.9,21.6,0.0070,,
1.1080,137,64.3,21.6,0.0070,,
1.1165,138,65.3,21.6,0.0075,,
1.1240,139,66.1,21.6,0.0070,,
1.1325,140,67.2,21.6,0.0075,,
1.1410,141,68.0,21.6,0.0070,,
1.1495,142,69.0,21.6,0.0070,,
1.1575,143,70.4,21.6,0.0065,,
1.1660,144,71.6,21.6,0.0075,,
1.1735,145,72.7,21.6,0.0070,,
1.1820,146,73.7,21.6,0.0075,,
1.1905,147,74.9,21.6,0.0070,,
