Raw Data
0.2720,36,-81.2,21.3,0.0065,,
0.2795,37,-80.3,21.3,0.0065,,
0.2880,38,-79.1,21.3,0.0070,,
0.2960,39,-77.6,21.3,0.0065,,
0.3045,40,-76.3,21.3,0.0065,,
0.3130,41,-75.3,21.3,0.0065,,
0.3215,42,-74.4,21.3,0.0065,,
0.3290,43,-73.0,21.3,0.0060,,
0.3375,44,-71.2,21.3,0.0070,,
0.3460,45,-69.3,21.3,0.0070,,
0.3545,46,-68.1,21.3,0.0065,,
0.3625,47,-66.2,21.3,0.0060,,
0.3710,48,-64.7,21.3,0.0065,,
0.3795,49,-62.7,21.3,0.0070,,
0.3870,50,-61.4,21.3,0.0060,,
0.3955,51,-59.1,21.3,0.0070,,
0.4040,52,-56.8,21.3,0.0065,,
0.4125,53,-54.5,21.3,0.0065,,
0.4210,54,-51.7,21.3,0.0065,,
0.4285,55,-49.4,21.3,0.0060,,
0.4370,56,-46.3,21.3,0.0070,,
0.4450,57,-42.8,21.3,0.0065,,
0.4535,58,-39.2,21.3,0.0065,,
0.4620,59,-35.7,21.3,0.0065,,
0.4705,60,-32.0,21.3,0.0065,,
0.4780,61,-28.9,21.3,0.0060,,
0.4865,62,-24.6,21.3,0.0070,,
0.4950,63,-20.3,21.3,0.0070,,
0.5035,64,-15.9,21.3,0.0065,,
0.5120,65,-12.0,21.3,0.0065,,
0.5200,66,-9.1,21.3,0.0060,,
0.5280,67,-6.3,21.3,0.0065,,
0.5360,68,-3.8,21.3,0.0065,,
0.5445,69,-0.3,21.3,0.0070,,
0.5530,70,1.7,21.3,0.0065,,
0.5615,71,3.5,21.3,0.0065,,
0.5700,72,4.9,21.3,0.0065,,
0.5785,73,6.5,21.3,0.0070,,
0.5860,74,7.7,21.3,0.0060,,
0.5940,75,9.0,21.3,0.0065,,
0.6025,76,10.2,21.3,0.0065,,
0.6110,77,11.4,21.3,0.0065,,
0.6195,78,12.4,21.3,0.0065,,
0.6280,79,14.2,21.3,0.0070,,
0.6355,80,15.1,21.3,0.0060,,
0.6440,81,15.8,21.3,0.0070,,
0.6525,82,16.9,21.3,0.0065,,
0.6610,83,18.3,21.3,0.0065,,
0.6690,84,19.6,21.3,0.0060,,
0.6770,85,20.3,21.3,0.0065,,
0.6850,86,21.4,21.3,0.0065,,
0.6935,87,22.4,21.3,0.0070,,
